Player,Prop Type,Prop Value,League
,Cards,0.5,
,Shots On Target,1.5,
,Shots On Target,1.5,
,Shots,2.5,
,Cards,0.5,
,Goals,0.5,
,Shots,3.5,
,Shots,1.5,
,Assists,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Shots On Target,1.5,
,Shots,3.5,
,Shots On Target,0.5,
,Goals,0.5,
,Shots,4.5,
,Cards,0.5,
,Assists,0.5,
,Shots,1.5,
,Shots On Target,2.5,
,Shots,4.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Shots On Target,1.5,
,Cards,0.5,
,Assists,0.5,
,Goals,0.5,
,Shots,3.5,
,Cards,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Shots,2.5,
,Shots On Target,1.5,
,Shots,0.5,
,Assists,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Shots,1.5,
,Shots,0.5,
,Tackles,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots,3.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Shots,1.5,
,Shots On Target,1.5,
,Shots,4.5,
,Shots On Target,2.5,
,Goals,0.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Assists,0.5,
,Goals,0.5,
,Cards,0.5,
,Shots,2.5,
,Points,9.5,
,Points,9.5,
,Pts+Rebs+Asts,14.5,
,Rebounds,2.5,
,Rebounds,4.0,
,Pts+Rebs,14.5,
,Points,4.5,
,Rebounds,5.5,
,Pts+Rebs,10.5,
,Rebounds,3.5,
,Pts+Rebs,13.5,
,Points,11.5,
,Rebounds,7.5,
,Rebounds,6.5,
,Points,9.5,
,Points,7.5,
,Pts+Rebs+Asts,12.5,
,Points,10.0,
,Pts+Rebs+Asts,15.5,
,Points,9.5,
,Pts+Rebs,17.5,
,Rebounds,4.5,
,Points,8.5,
,3-PT Made,2.5,
,Pts+Rebs,9.5,
,Pts+Rebs,19.5,
,Points,11.5,
,Rebounds,5.5,
,Rebounds,3.5,
,Rebounds,6.5,
,Pts+Rebs,11.5,
,Points,10.5,
,Pts+Rebs,15.5,
,Rebounds,4.0,
,3-PT Made,3.5,
,3-PT Made,1.5,
,Pts+Rebs,14.0,
,Points,7.5,
,Points,14.5,
,Rebs+Asts,11.5,
,Assists,5.5,
,Pts+Rebs+Asts,31.5,
,Rebounds,7.5,
,Pts+Rebs+Asts,39.5,
,Rebs+Asts,9.5,
,Points,18.5,
,Rebounds,6.5,
,Rebs+Asts,12.5,
,Pts+Rebs+Asts,34.5,
,Rebounds,10.5,
,Rebounds,9.5,
,Pts+Rebs,24.5,
,3-PT Made,0.5,
,Points,14.5,
,Points,24.5,
,Pts+Asts,29.5,
,Pts+Rebs,34.5,
,Pts+Asts,19.5,
,Pts+Rebs,29.5,
,Pts+Asts,34.5,
,Pts+Rebs+Asts,29.5,
,Pts+Rebs,27.5,
,Assists,6.5,
,Rebs+Asts,13.5,
,Points,20.0,
,Points,17.5,
,Assists,2.5,
,Pts+Asts,25.5,
,Rebounds,5.5,
,Points,29.5,
,Rebs+Asts,10.5,
,3-PT Made,1.5,
,Pts+Asts,23.5,
,Points,21.5,
,Assists,4.5,
,Points,14.5,
,Assists,8.5,
,Pts+Asts,25.0,
,Pts+Rebs+Asts,34.5,
,Assists,4.5,
,Points,24.5,
,Rebounds,3.5,
,Rebs+Asts,9.5,
,Pts+Rebs,34.5,
,Rebounds,4.5,
,Rebs+Asts,7.5,
,Points,20.5,
,3-PT Made,4.5,
,Assists,7.5,
,3-PT Made,3.5,
,Assists,5.5,
,Pts+Rebs+Asts,30.5,
,Pts+Rebs+Asts,24.5,
,Pts+Rebs,19.5,
,Pts+Rebs+Asts,39.5,
,Rebs+Asts,8.5,
,Rebounds,2.5,
,Rebounds,4.0,
,3-PT Made,1.5,
,Points,17.5,
,Assists,3.5,
,Rebounds,5.5,
,3-PT Made,2.5,
,Rebs+Asts,11.5,
,Points,19.5,
,Rebounds,6.5,
,Rebs+Asts,10.5,
,Pts+Rebs,29.5,
,Pts+Rebs+Asts,29.5,
,Pts+Asts,29.5,
,Assists,5.0,
,Points,18.5,
,Pts+Asts,19.5,
,Pts+Asts,34.5,
,3-PT Made,2.5,
,Points,14.5,
,Pts+Asts,13.5,
,Pts+Rebs+Asts,24.5,
,3-PT Made,1.5,
,Rebs+Asts,6.5,
,Rebs+Asts,10.5,
,Pts+Rebs,13.5,
,Pts+Asts,15.5,
,Assists,5.5,
,Pts+Rebs,11.5,
,Assists,4.5,
,Pts+Rebs+Asts,14.5,
,Points,11.5,
,Pts+Asts,14.0,
,Assists,8.5,
,Rebs+Asts,9.5,
,Assists,7.5,
,Rebs+Asts,7.5,
,Points,7.5,
,Points,5.5,
,Pts+Asts,19.5,
,Points,8.5,
,Pts+Rebs,19.5,
,Points,9.5,
,Pts+Rebs,9.5,
,Rebounds,4.5,
,Rebounds,3.5,
,Pts+Asts,11.5,
,Assists,3.5,
,Pts+Rebs+Asts,19.5,
,Pts+Rebs+Asts,15.5,
,Pts+Rebs+Asts,17.5,
,Pts+Rebs+Asts,21.5,
,Rebounds,2.5,
,Pts+Rebs,14.5,
,Rebs+Asts,8.5,
,Pts+Asts,17.5,
,3-PT Made,0.5,
,Points,29.5,
,Points,14.5,
,Assists,2.5,
,Points,17.5,
,Assists,4.5,
,Assists,5.5,
,Points,20.5,
,3-PT Made,1.5,
,Assists,3.5,
,3-PT Made,3.5,
,Points,24.5,
,3-PT Made,4.5,
,Points,18.5,
,Pts+Rebs,29.5,
,Rebs+Asts,9.5,
,Rebs+Asts,8.5,
,Rebounds,6.5,
,Pts+Rebs,19.5,
,Pts+Rebs+Asts,34.5,
,Rebounds,10.5,
,Pts+Asts,14.5,
,Pts+Rebs,23.5,
,Pts+Asts,21.5,
,Pts+Asts,15.5,
,Assists,4.5,
,Pts+Asts,24.5,
,Assists,2.5,
,Pts+Asts,23.5,
,Rebs+Asts,12.5,
,Points,14.5,
,Points,17.5,
,Pts+Asts,17.5,
,Points,16.5,
,Assists,5.5,
,Rebounds,5.5,
,Points,11.5,
,Pts+Rebs,24.5,
,Points,19.5,
,Rebounds,9.5,
,Rebs+Asts,11.0,
,Pts+Rebs,22.5,
,Pts+Asts,18.5,
,Assists,3.5,
,Pts+Rebs+Asts,29.5,
,Rebs+Asts,10.5,
,Assists,6.5,
,Pts+Rebs+Asts,24.5,
,Pts+Rebs+Asts,26.5,
,Pts+Rebs+Asts,27.5,
,Rebounds,7.5,
,Points,14.5,
,Rebounds,4.5,
,Points,11.5,
,Points,10.5,
,Rebounds,9.5,
,Rebounds,6.5,
,Rebounds,8.5,
,Points,7.5,
,Pts+Rebs,14.5,
,Pts+Rebs,24.5,
,Points,12.5,
,Points,17.5,
,Pts+Rebs,18.5,
,Points,9.5,
,Rebounds,7.5,
,Rebounds,5.5,
,Points,4.5,
,Pts+Rebs+Asts,8.5,
,Points,11.5,
,Pts+Rebs,11.5,
,Pts+Rebs,14.5,
,3-PT Made,1.5,
,3-PT Made,2.5,
,Rebounds,4.0,
,Rebounds,2.5,
,Pts+Rebs,13.5,
,Rebounds,6.5,
,Rebounds,5.5,
,Points,9.5,
,Points,14.5,
,3-PT Made,0.5,
,Rebounds,4.5,
,Rebounds,3.5,
,Pts+Rebs,15.5,
,Assists,6.5,
,Pts+Asts,9.5,
,Assists,2.5,
,Points,7.5,
,Points,9.5,
,Pts+Asts,19.5,
,Points,11.5,
,Assists,4.5,
,Assists,5.5,
,Points,10.5,
,Pts+Asts,14.5,
,Pts+Asts,14.0,
,Points,8.5,
,Points,14.5,
,Points,21.5,
,Points,13.5,
,Points,17.5,
,Points,8.5,
,Points,11.5,
,Points,8.5,
,Goalie Saves,4.0,
,Goalie Saves (Combo),6.0,
,Goals Allowed (Combo),3.0,
,Goalie Saves,2.5,
,Passes Attempted,58.5,
,Shots Assisted,2.5,
,Shots,2.0,
,Attempted Dribbles,3.5,
,Shots Assisted,2.0,
,Shots On Target,0.5,
,Clearances,5.5,
,Goalie Saves,3.5,
,Goals Allowed in First 30 Minutes,0.5,
,Goals Allowed (Combo),2.5,
,Goalie Saves (Combo),6.0,
,Tackles,1.5,
,Clearances,5.0,
,Passes Attempted,44.5,
,Shots On Target,0.5,
,Goalie Saves,3.0,
,Clearances,4.0,
,Passes Attempted,63.5,
,Goalie Saves,3.0,
,Tackles,1.5,
,Goalie Saves (Combo),6.0,
,Shots,3.0,
,Shots,2.0,
,Shots On Target,0.5,
,Shots,2.5,
,Shots On Target,0.5,
,Attempted Dribbles,3.5,
,Clearances,5.5,
,Passes Attempted,57.5,
,Shots Assisted,2.0,
,Goalie Saves,3.0,
,Passes Attempted,52.5,
,Attempted Dribbles,6.5,
,Shots On Target,2.0,
,Shots Assisted,2.5,
,Shots,4.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Shots On Target,0.5,
,Goalie Saves,3.5,
,Attempted Dribbles,2.5,
,Passes Attempted,35.5,
,Shots,3.5,
,Shots Assisted,2.0,
,Goals Allowed (Combo),3.5,
,Shots,2.5,
,Clearances,6.0,
,Passes Attempted,67.5,
,Goalie Saves,2.5,
,Shots On Target,0.5,
,Passes Attempted,52.5,
,Clearances,5.5,
,Attempted Dribbles,4.5,
,Goalie Saves,3.5,
,Tackles,2.0,
,Tackles,1.5,
,Goals Allowed (Combo),3.0,
,Goalie Saves (Combo),6.5,
,Goalie Saves,2.0,
,Clearances,4.5,
,Passes Attempted,50.5,
,Shots Assisted,2.0,
,Clearances,5.5,
,Passes Attempted,63.5,
,Shots,2.0,
,Attempted Dribbles,3.0,
,Tackles,2.0,
,Shots Assisted,2.5,
,Tackles,2.0,
,Attempted Dribbles,3.0,
,Shots,3.0,
,Goalie Saves,3.5,
,Goals Allowed (Combo),3.0,
,Fantasy Score,13.5,
,Pts+Rebs+Asts,11.5,
,Fantasy Score,17.5,
,Fantasy Score,17.5,
,Fantasy Score,20.5,
,Rebounds (Combo),15.0,
,Fantasy Score,40.5,
,Defensive Rebounds,5.5,
,Free Throws Made,5.5,
,FG Attempted,15.5,
,Fantasy Score,35.0,
,Turnovers,2.5,
,Steals,1.5,
,Offensive Rebounds,0.5,
,Free Throws Made,4.0,
,FG Attempted,16.5,
,3-PT Attempted,7.5,
,Fantasy Score,22.5,
,FG Attempted,15.5,
,Free Throws Made,3.0,
,Fantasy Score,27.0,
,Pts+Rebs+Asts,23.5,
,Blks+Stls,1.5,
,Fantasy Score,34.5,
,FG Attempted,10.5,
,Defensive Rebounds,5.5,
,Defensive Rebounds,4.5,
,Fantasy Score,24.5,
,Pts+Rebs+Asts,20.0,
,Fantasy Score,11.5,
,Fantasy Score,13.0,
,Pts+Rebs+Asts,10.0,
,Points,5.0,
,Points,4.0,
,Points,5.0,
,Points,4.5,
,Rebounds,6.5,
,Pts+Rebs+Asts,16.5,
,Pts+Rebs+Asts,25.5,
,Rebounds,5.5,
,Points,11.0,
,Pts+Rebs+Asts,16.5,
,Points,8.0,
,Pts+Rebs+Asts,12.5,
,Points,5.5,
,Pts+Rebs+Asts,10.0,
,Points,7.5,
,3-PT Made,3.5,
,Assists,3.5,
,Points,24.5,
,3-PT Made,1.5,
,Points,15.0,
,Points,13.5,
,Points,19.5,
,Assists,4.5,
,Points,11.5,
,Pts+Asts,14.5,
,Pts+Asts,18.5,
,Assists,5.5,
,Assists,2.5,
,Pts+Asts,24.5,
,3-PT Made,2.5,
,Points,17.5,
,Pts+Asts,29.5,
,Pts+Rebs+Asts,29.5,
,Pts+Asts,22.5,
,Assists,8.5,
,Pts+Rebs,22.5,
,Pts+Rebs+Asts,34.5,
,Rebounds,5.5,
,3-PT Made,0.5,
,Pts+Asts,24.5,
,Rebs+Asts,9.5,
,Assists,5.0,
,Pts+Asts,29.5,
,Points,18.5,
,Assists,6.5,
,Pts+Rebs,19.5,
,Pts+Rebs,29.5,
,Points,19.5,
,Rebounds,2.5,
,Rebs+Asts,6.5,
,Rebounds,6.5,
,Points,24.5,
,Points,17.5,
,3-PT Made,2.5,
,Points,14.5,
,Pts+Asts,34.5,
,Rebs+Asts,7.5,
,3-PT Made,1.5,
,Assists,4.5,
,Pts+Rebs+Asts,26.5,
,Pts+Rebs+Asts,24.5,
,Pts+Rebs+Asts,39.5,
,Pts+Asts,19.5,
,Rebounds,4.5,
,Pts+Rebs,24.5,
,Rebs+Asts,10.5,
,Points,15.5,
,Rebounds,3.5,
,Pts+Rebs,21.5,
,Assists,7.5,
,Rebs+Asts,9.0,
,Assists,3.5,
,Assists,5.5,
,Pts+Rebs+Asts,29.5,
,Pts+Rebs,44.5,
,Pts+Rebs,31.5,
,Assists,1.5,
,Pts+Rebs,39.5,
,Rebs+Asts,11.5,
,Rebounds,12.5,
,Points,22.5,
,Pts+Rebs+Asts,44.5,
,Points,19.5,
,Pts+Asts,25.5,
,Assists,4.5,
,Points,17.5,
,Rebs+Asts,12.5,
,Assists,2.5,
,Pts+Rebs+Asts,39.5,
,Points,24.5,
,Points,29.5,
,Rebounds,7.5,
,Rebounds,9.5,
,Assists,3.5,
,Rebounds,11.5,
,Rebounds,8.5,
,Rebounds,13.5,
,Pts+Rebs,34.5,
,Points,23.5,
,Rebs+Asts,10.5,
,Pts+Rebs,29.5,
,Pts+Rebs+Asts,34.5,
,Rebs+Asts,13.5,
,Pts+Asts,34.5,
,Pts+Asts,24.5,
,Points,20.5,
,Pts+Asts,29.5,
,Pts+Asts,26.5,
,Pts+Asts,19.5,
,Rebs+Asts,14.5,
,Pts+Rebs,17.5,
,Points,17.5,
,Points,9.5,
,Pts+Rebs,11.5,
,Points,7.5,
,3-PT Made,1.5,
,Points,11.0,
,3-PT Made,3.5,
,Points,14.5,
,Points,19.5,
,Pts+Rebs,14.5,
,Rebounds,5.5,
,Points,12.5,
,Rebounds,2.5,
,Pts+Rebs,13.5,
,Rebounds,4.5,
,Pts+Rebs,19.5,
,Rebounds,6.5,
,3-PT Made,2.5,
,Pts+Asts,19.5,
,Rebs+Asts,6.5,
,Rebs+Asts,7.5,
,Rebounds,2.5,
,Rebounds,6.5,
,Points,17.5,
,Rebs+Asts,9.5,
,Points,10.5,
,Pts+Rebs+Asts,29.5,
,Pts+Rebs+Asts,19.5,
,Rebs+Asts,10.5,
,Pts+Rebs,11.5,
,Pts+Rebs,15.5,
,Pts+Rebs,19.5,
,Pts+Rebs+Asts,14.5,
,Pts+Rebs,13.5,
,Pts+Rebs,17.5,
,Pts+Rebs,14.5,
,Points,14.5,
,Points,11.5,
,Rebounds,3.5,
,Assists,3.5,
,Assists,7.5,
,Assists,5.5,
,3-PT Made,0.5,
,Points,9.5,
,Rebounds,4.0,
,Pts+Rebs+Asts,24.5,
,Pts+Asts,11.5,
,Pts+Rebs+Asts,20.5,
,Points,7.5,
,3-PT Made,1.5,
,Assists,4.5,
,Pts+Asts,17.5,
,Pts+Asts,15.0,
,3-PT Made,2.5,
,Rebounds,5.5,
,Pts+Asts,13.5,
,Rebounds,4.5,
,Assists,6.5,
,Points,24.5,
,Rebounds,2.5,
,Assists,6.5,
,Pts+Rebs+Asts,34.5,
,Pts+Rebs,24.5,
,Pts+Rebs,21.5,
,Assists,4.5,
,Rebounds,4.0,
,Rebounds,3.5,
,Points,19.5,
,Rebs+Asts,8.0,
,Pts+Rebs+Asts,19.5,
,Rebounds,5.5,
,Assists,5.5,
,Pts+Rebs,29.5,
,Rebounds,4.5,
,Rebs+Asts,7.5,
,Pts+Asts,21.5,
,Points,14.5,
,Rebs+Asts,6.5,
,Rebounds,6.5,
,Pts+Rebs+Asts,29.5,
,Points,17.5,
,Points,16.0,
,Assists,4.0,
,Pts+Asts,24.5,
,Pts+Asts,29.5,
,Rebs+Asts,9.5,
,3-PT Made,1.5,
,Pts+Rebs+Asts,24.0,
,3-PT Made,2.5,
,Pts+Rebs,19.5,
,Assists,2.5,
,Assists,3.5,
,Points,11.5,
,Points,8.5,
,Pts+Rebs+Asts,13.5,
,Points,5.5,
,Pts+Rebs,19.5,
,Rebounds,9.5,
,Points,9.5,
,Points,5.5,
,Points,8.5,
,Points,11.5,
,Rebounds,5.5,
,Rebounds,7.5,
,Pts+Rebs,11.5,
,Rebounds,4.5,
,Points,14.5,
,Pts+Rebs,15.0,
,Pts+Rebs,17.5,
,Pts+Rebs,13.5,
,Rebounds,6.0,
,Rebounds,8.5,
,Points,7.5,
,Points,4.5,
,Points,8.5,
,Points,14.5,
,Points,11.5,
,Points,16.5,
,Points,12.5,
,Pts+Rebs+Asts,18.5,
,Points,13.5,
,Assists,6.5,
,Pts+Rebs+Asts,23.0,
,Pts+Rebs+Asts,16.5,
,Points,10.5,
,Fantasy Score,24.0,
,Fantasy Score,14.5,
,Fantasy Score,12.5,
,Pts+Rebs+Asts,10.5,
,Fantasy Score,13.0,
,Free Throws Made,3.5,
,Pts+Rebs+Asts,21.0,
,Fantasy Score,26.0,
,FG Attempted,14.0,
,Offensive Rebounds,0.5,
,FG Attempted,15.0,
,Fantasy Score,34.0,
,Defensive Rebounds,3.5,
,Offensive Rebounds,1.5,
,Fantasy Score,47.5,
,Steals,1.5,
,FG Attempted,16.0,
,Fantasy Score,20.5,
,Free Throws Made,1.5,
,3-PT Attempted,5.0,
,Defensive Rebounds,2.5,
,Steals,0.5,
,Pts+Rebs+Asts,17.0,
,Fantasy Score,25.0,
,Defensive Rebounds,3.5,
,Offensive Rebounds,0.5,
,FG Attempted,12.5,
,3-PT Attempted,4.5,
,Fantasy Score,29.0,
,Fantasy Score,17.0,
,Pts+Rebs+Asts,8.5,
,Fantasy Score,10.5,
,Points,5.5,
,Points,5.0,
,Points (Combo),33.5,
,Assists (Combo),9.5,
,Fantasy Score,19.0,
,Pts+Rebs+Asts,16.0,
,Fantasy Score,9.5,
,Pts+Rebs+Asts,8.0,
,Shots,1.5,
,Assists,0.5,
,Goals,0.5,
,Shots On Target,2.5,
,Cards,0.5,
,Offsides,0.5,
,Goal + Assist,0.5,
,Offsides,1.5,
,Shots,5.5,
,Tackles,1.5,
,Shots,4.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Tackles,2.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Tackles,0.5,
,Cards,0.5,
,Goalie Saves,4.5,
,Goalie Saves,1.5,
,Goalie Saves,4.5,
,Assists,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots,1.5,
,Shots,4.5,
,Tackles,1.5,
,Shots On Target,1.5,
,Offsides,0.5,
,Shots On Target,2.5,
,Shots,3.5,
,Goals,0.5,
,Shots On Target,0.5,
,Offsides,1.5,
,Shots On Target,0.5,
,Shots,1.5,
,Assists,0.5,
,Tackles,2.5,
,Shots,0.5,
,Offsides,0.5,
,Cards,0.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Shots,3.5,
,Shots On Target,1.5,
,Cards,0.5,
,Assists,0.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Tackles,2.5,
,Shots,0.5,
,Offsides,0.5,
,Shots,2.5,
,Shots,5.5,
,Shots On Target,2.5,
,Goals,0.5,
,Offsides,0.5,
,Shots,6.5,
,Shots,2.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Offsides,1.5,
,Goals,1.5,
,Cards,0.5,
,Assists,0.5,
,Tackles,0.5,
,Shots,0.5,
,Tackles,2.5,
,Shots,1.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Offsides,0.5,
,Shots,2.5,
,Shots,3.5,
,Cards,0.5,
,Tackles,2.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Assists,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Tackles,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Tackles,1.5,
,Tackles,2.5,
,Shots,1.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Shots On Target,0.5,
,Shots,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Shots,0.5,
,Cards,0.5,
,Shots On Target,2.5,
,Assists,0.5,
,Offsides,0.5,
,Shots,5.5,
,Shots,4.5,
,Tackles,0.5,
,Cards,0.5,
,Offsides,1.5,
,Shots,2.5,
,Tackles,1.5,
,Goals,1.5,
,Shots,1.5,
,Shots On Target,1.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Tackles,2.5,
,Shots,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Tackles,1.5,
,Goals,0.5,
,Shots,3.5,
,Shots On Target,1.5,
,Shots,4.5,
,Assists,0.5,
,Offsides,0.5,
,Assists,0.5,
,Goals,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Offsides,0.5,
,Tackles,2.5,
,Shots On Target,0.5,
,Tackles,0.5,
,Assists,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Offsides,0.5,
,Tackles,2.5,
,Shots,0.5,
,Shots,2.5,
,Goals,0.5,
,Tackles,0.5,
,Shots,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Tackles,1.5,
,Goalie Saves,3.5,
,Goalie Saves,4.5,
,Cards,0.5,
,Goalie Saves,2.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,0.5,
,Cards,0.5,
,Tackles,2.5,
,Goals,0.5,
,Tackles,0.5,
,Shots On Target,1.5,
,Shots,2.5,
,Shots,3.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Assists,0.5,
,Offsides,0.5,
,Tackles,1.5,
,Shots,1.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Assists,0.5,
,Goals,0.5,
,Cards,0.5,
,Shots,2.5,
,Tackles,0.5,
,Tackles,2.5,
,Offsides,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Goals,0.5,
,Assists,0.5,
,Shots,0.5,
,Tackles,2.5,
,Goal + Assist,0.5,
,Tackles,0.5,
,Shots,3.5,
,Assists,0.5,
,Cards,0.5,
,Tackles,2.5,
,Offsides,0.5,
,Tackles,1.5,
,Shots On Target,1.5,
,Shots,1.5,
,Shots,2.5,
,Goals,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Cards,0.5,
,Assists,0.5,
,Shots,2.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Tackles,1.5,
,Shots,2.5,
,Shots,0.5,
,Shots,1.5,
,Goals,0.5,
,Cards,0.5,
,Assists,0.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Assists,0.5,
,Tackles,1.5,
,Offsides,0.5,
,Shots,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Shots,2.5,
,Shots,3.5,
,Tackles,0.5,
,Tackles,2.5,
,Shots On Target,1.5,
,Shots,1.5,
,Tackles,2.5,
,Cards,0.5,
,Tackles,1.5,
,Goals,0.5,
,Offsides,0.5,
,Assists,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Offsides,0.5,
,Goals,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Shots On Target,1.5,
,Shots,2.5,
,Tackles,2.5,
,Shots,3.5,
,Cards,0.5,
,Tackles,0.5,
,Assists,0.5,
,Offsides,1.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Tackles,1.5,
,Goals,0.5,
,Tackles,0.5,
,Shots,3.5,
,Shots,0.5,
,Shots,2.5,
,Assists,0.5,
,Offsides,0.5,
,Shots On Target,1.5,
,Tackles,2.5,
,Cards,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Shots,0.5,
,Tackles,2.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Shots,0.5,
,Tackles,2.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots,3.5,
,Shots,4.5,
,Shots On Target,2.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Shots,1.5,
,Goals,0.5,
,Assists,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots,2.5,
,Shots On Target,1.5,
,Shots,1.5,
,Assists,0.5,
,Shots,3.5,
,Goals,0.5,
,Shots,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots,1.5,
,Tackles,2.5,
,Assists,0.5,
,Shots,2.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots,0.5,
,Goals,0.5,
,Goal + Assist,0.5,
,Tackles,1.5,
,Cards,0.5,
,Shots On Target,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots,2.5,
,Shots On Target,1.5,
,Shots,3.5,
,Assists,0.5,
,Goal + Assist,0.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots,1.5,
,Shots,2.5,
,Cards,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Shots,0.5,
,Assists,0.5,
,Shots On Target,1.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Assists,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots,3.5,
,Assists,0.5,
,Shots,2.5,
,Goals,0.5,
,Tackles,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Tackles,1.5,
,Tackles,2.5,
,Offsides,0.5,
,Shots On Target,1.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Tackles,1.5,
,Offsides,0.5,
,Assists,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Tackles,2.5,
,Cards,0.5,
,Assists,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots,2.5,
,Tackles,1.5,
,Goals,1.5,
,Goals,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Tackles,2.5,
,Tackles,0.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Goals,0.5,
,Shots,0.5,
,Shots,2.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Tackles,2.5,
,Tackles,1.5,
,Assists,0.5,
,Shots On Target,0.5,
,Shots,3.5,
,Cards,0.5,
,Shots,1.5,
,Shots On Target,1.5,
,Goals,0.5,
,Shots,2.5,
,Goal + Assist,0.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Shots,1.5,
,Assists,0.5,
,Shots,2.5,
,Shots On Target,1.5,
,Goals,0.5,
,Shots,0.5,
,Cards,0.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Tackles,2.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Tackles,1.5,
,Shots,0.5,
,Tackles,0.5,
,Assists,0.5,
,Offsides,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Cards,0.5,
,Goals,0.5,
,Shots,2.5,
,Tackles,2.5,
